[0.0,0.004081632653061273] 567.9813653761539
[0.004081632653061273,0.008163265306122436] 122.1764059214417
[0.008163265306122436,0.01224489795918371] 93.9338293068472
[0.01224489795918371,0.01632653061224487] 102.73149833988052
[0.01632653061224487,0.020408163265306145] 127.70009126431879
[0.020408163265306145,0.024489795918367308] 159.94948777096266
[0.024489795918367308,0.02857142857142858] 191.927832848715
[0.02857142857142858,0.03265306122448974] 219.6507361976176
[0.03265306122448974,0.03673469387755102] 243.9691613191768
[0.03673469387755102,0.04081632653061229] 267.80392536699804
[0.04081632653061229,0.04489795918367345] 291.4001608366521
[0.04489795918367345,0.048979591836734726] 317.3675341562588
[0.048979591836734726,0.05306122448979589] 342.9662912981871
[0.05306122448979589,0.05714285714285716] 368.3129627039302
[0.05714285714285716,0.061224489795918324] 393.47879525022086
[0.061224489795918324,0.0653061224489796] 414.4474618090438
[0.0653061224489796,0.06938775510204076] 434.0963720815988
[0.06938775510204076,0.07346938775510203] 450.83906838247185
[0.07346938775510203,0.07755102040816331] 465.1531984103569
[0.07755102040816331,0.08163265306122447] 478.13459050925
[0.08163265306122447,0.08571428571428574] 491.22868328475397
[0.08571428571428574,0.0897959183673469] 503.80322321141597
[0.0897959183673469,0.09387755102040818] 515.4857077948047
[0.09387755102040818,0.09795918367346945] 529.0382761277352
[0.09795918367346945,0.10204081632653061] 541.2678937118158
[0.10204081632653061,0.10612244897959189] 554.108643521302
[0.10612244897959189,0.11020408163265305] 566.3690994825247
[0.11020408163265305,0.11428571428571432] 576.3239571062363
[0.11428571428571432,0.11836734693877549] 584.393764735998
[0.11836734693877549,0.12244897959183676] 593.1782694493329
[0.12244897959183676,0.12653061224489792] 599.0439085188029
[0.12653061224489792,0.1306122448979592] 604.8165504198096
[0.1306122448979592,0.13469387755102047] 610.6234965456273
[0.13469387755102047,0.13877551020408163] 616.292412903859
[0.13877551020408163,0.1428571428571429] 621.7244528245701
[0.1428571428571429,0.14693877551020407] 628.4985587086245
[0.14693877551020407,0.15102040816326534] 634.7889931708137
[0.15102040816326534,0.15510204081632661] 641.1870945875431
[0.15510204081632661,0.15918367346938778] 648.9277609195941
[0.15918367346938778,0.16326530612244894] 655.9045783098633
[0.16326530612244894,0.1673469387755102] 662.6656240118582
[0.1673469387755102,0.17142857142857149] 668.1633099065181
[0.17142857142857149,0.17551020408163265] 674.7623676968573
[0.17551020408163265,0.17959183673469392] 679.5571958491533
[0.17959183673469392,0.18367346938775508] 682.2402651341308
[0.18367346938775508,0.18775510204081636] 687.0668491742192
[0.18775510204081636,0.19183673469387763] 688.994991606425
[0.19183673469387763,0.1959183673469388] 690.544911204921
[0.1959183673469388,0.19999999999999996] 692.8381284280695
[0.19999999999999996,0.20408163265306123] 693.3091710099402
[0.20408163265306123,0.2081632653061225] 695.9825072870391
[0.2081632653061225,0.21224489795918366] 697.50716008412
[0.21224489795918366,0.21632653061224494] 700.3915417880735
[0.21632653061224494,0.2204081632653061] 702.7456919695335
[0.2204081632653061,0.22448979591836737] 706.242390242819
[0.22448979591836737,0.22857142857142865] 710.4055325667863
[0.22857142857142865,0.2326530612244898] 715.6459689712102
[0.2326530612244898,0.23673469387755097] 720.4056250430973
[0.23673469387755097,0.24081632653061225] 723.9925888168913
[0.24081632653061225,0.24489795918367352] 727.2003233802449
[0.24489795918367352,0.24897959183673468] 730.136843035249
[0.24897959183673468,0.25306122448979596] 731.9322941140492
[0.25306122448979596,0.2571428571428571] 734.1255536511031
[0.2571428571428571,0.2612244897959184] 734.9308831550829
[0.2612244897959184,0.26530612244897966] 734.4620055218735
[0.26530612244897966,0.2693877551020408] 733.5532488215355
[0.2693877551020408,0.273469387755102] 732.5461418661496
[0.273469387755102,0.27755102040816326] 730.9389334467877
[0.27755102040816326,0.28163265306122454] 730.2937739625048
[0.28163265306122454,0.2857142857142858] 728.7428551287439
[0.2857142857142858,0.28979591836734697] 728.126510771515
[0.28979591836734697,0.29387755102040813] 728.5367069489163
